row.names,geneid,genesymbol
409,ENSG00000179172.7,HNRNPCL1
410,ENSG00000120952.4,PRAMEF2
411,ENSG00000243073.3,PRAMEF4
412,ENSG00000187545.5,PRAMEF10
413,ENSG00000204510.1,PRAMEF7
414,ENSG00000207434.1,RNU6-1072P
415,ENSG00000234064.1,RP11-450I1.2
416,ENSG00000232423.3,PRAMEF6
417,ENSG00000250894.1,RP11-450I1.4
418,ENSG00000204508.3,PRAMEF22
419,ENSG00000239810.2,WI2-3308P17.2
420,ENSG00000250113.1,RP13-221M14.6
421,ENSG00000204505.3,PRAMEF25
422,ENSG00000233336.1,RP13-221M14.2
423,ENSG00000229978.1,RP13-221M14.3
424,ENSG00000236179.1,RP13-221M14.4
425,ENSG00000179412.8,HNRNPCP5
426,ENSG00000224199.1,WI2-2994D6.1
427,ENSG00000229571.2,PRAMEF26
428,ENSG00000204503.5,PRAMEF3
429,ENSG00000233394.1,RP11-248D7.2
430,ENSG00000204502.2,PRAMEF5
431,ENSG00000231219.1,RP11-219C24.8
432,ENSG00000207511.1,RNU6-771P
433,ENSG00000182330.6,PRAMEF8
434,ENSG00000237700.1,RP11-219C24.6
435,ENSG00000204501.2,PRAMEF9
436,ENSG00000228229.2,RP11-219C24.10
437,ENSG00000204495.3,PRAMEF13
438,ENSG00000204491.2,PRAMEF18
439,ENSG00000204488.3,PRAMEF16
440,ENSG00000204486.3,PRAMEF21
441,ENSG00000204485.2,XX-FW84067D5.1
442,ENSG00000224581.1,XX-FW84067D5.2
443,ENSG00000157358.7,PRAMEF15
444,ENSG00000204481.6,PRAMEF14
445,ENSG00000204480.6,PRAMEF19
446,ENSG00000204479.4,PRAMEF17
447,ENSG00000204478.5,PRAMEF20
448,ENSG00000162494.5,LRRC38
449,ENSG00000259961.1,RP4-597A16.2
450,ENSG00000215909.3,RP4-597A16.3
451,ENSG00000162493.12,PDPN
452,ENSG00000222952.1,RNA5SP41
453,ENSG00000266358.1,AL359771.1
454,ENSG00000237445.2,CTA-520D8.2
455,ENSG00000253085.1,SCARNA11
456,ENSG00000116731.18,PRDM2
457,ENSG00000252151.1,RNU6-1265P
458,ENSG00000231606.1,RP11-344F13.1
459,ENSG00000234593.1,RP4-704D23.1
460,ENSG00000189337.11,KAZN
461,ENSG00000235829.1,TBCAP2
462,ENSG00000175147.7,TMEM51-AS1
463,ENSG00000171729.9,TMEM51
464,ENSG00000204464.3,C1orf195
465,ENSG00000215720.4,RP1-21O18.3
466,ENSG00000142621.15,FHAD1
467,ENSG00000233485.1,RP3-467K16.2
468,ENSG00000236045.1,RP3-467K16.7
469,ENSG00000228140.1,RP3-467K16.4
470,ENSG00000142634.8,EFHD2
471,ENSG00000162438.7,CTRC
472,ENSG00000142615.7,CELA2A
473,ENSG00000215704.5,CELA2B
474,ENSG00000132906.13,CASP9
475,ENSG00000116138.8,DNAJC16
476,ENSG00000251866.1,SCARNA21
477,ENSG00000272510.1,RP4-680D5.8
478,ENSG00000116771.5,AGMAT
479,ENSG00000237301.1,RP4-680D5.2
480,ENSG00000235084.2,CHCHD2P6
481,ENSG00000252417.1,RNU7-179P
482,ENSG00000236500.1,RP4-680D5.4
483,ENSG00000197312.7,DDI2
484,ENSG00000271742.1,RP4-680D5.9
485,ENSG00000116786.7,PLEKHM2
486,ENSG00000237938.1,RP11-288I21.1
487,ENSG00000162461.7,SLC25A34
488,ENSG00000162460.6,TMEM82
489,ENSG00000224459.1,RP11-169K16.4
490,ENSG00000162458.8,FBLIM1
491,ENSG00000224321.1,RP11-169K16.6
492,ENSG00000233954.4,RP11-169K16.7
493,ENSG00000178715.7,RP11-169K16.8
494,ENSG00000179743.2,RP11-169K16.9
495,ENSG00000065526.6,SPEN
496,ENSG00000238818.1,snoU13
497,ENSG00000270620.1,RP1-134O19.3
498,ENSG00000116809.7,ZBTB17
499,ENSG00000234607.2,RP11-5P18.1
500,ENSG00000231353.1,RP11-5P18.3
501,ENSG00000224966.4,TBC1D3P6
502,ENSG00000183888.4,C1orf64
503,ENSG00000173641.13,HSPB7
504,ENSG00000186510.7,CLCNKA
505,ENSG00000232456.1,RP11-5P18.10
506,ENSG00000184908.13,CLCNKB
507,ENSG00000185519.8,FAM131C
508,ENSG00000142627.9,EPHA2
509,ENSG00000227959.1,RP11-276H7.2
510,ENSG00000224621.1,RP11-276H7.3
511,ENSG00000142632.12,ARHGEF19
512,ENSG00000237276.4,ANO7P1
513,ENSG00000204377.3,C1orf134
514,ENSG00000132881.7,RSG1
515,ENSG00000233929.1,MT1XP1
516,ENSG00000037637.6,FBXO42
517,ENSG00000055070.12,SZRD1
518,ENSG00000226457.1,RP11-430L17.1
519,ENSG00000187144.7,SPATA21
520,ENSG00000157191.15,NECAP2
521,ENSG00000226029.1,RP4-798A10.2
522,ENSG00000080947.10,CROCCP3
523,ENSG00000206652.1,RNU1-1
524,ENSG00000261135.1,RP4-798A10.7
525,ENSG00000224174.2,RP4-798A10.4
526,ENSG00000233421.3,U1
527,ENSG00000268674.1,AL355149.2
528,ENSG00000225710.1,RP5-875O13.6
529,ENSG00000266584.1,AL355149.1
530,ENSG00000219481.6,NBPF1
531,ENSG00000271732.1,RP5-1182A14.5
532,ENSG00000215908.5,CROCCP2
533,ENSG00000186301.7,MST1P2
534,ENSG00000207513.1,RNU1-3
535,ENSG00000237847.2,AL137798.1
536,ENSG00000264742.1,AL021920.1
537,ENSG00000236698.1,EIF1AXP1
538,ENSG00000268869.1,ESPNP
539,ENSG00000268991.1,AL021920.2
540,ENSG00000058453.12,CROCC
541,ENSG00000207389.1,RNU1-4
542,ENSG00000227684.1,CROCCP4
543,ENSG00000186715.6,MST1L
544,ENSG00000223643.2,RP11-108M9.1
545,ENSG00000230239.1,RP11-108M9.2
546,ENSG00000263811.1,MIR3675
547,ENSG00000228549.2,U1
548,ENSG00000238142.1,RP11-108M9.4
549,ENSG00000235241.1,RP11-108M9.5
550,ENSG00000207005.1,RNU1-2
551,ENSG00000272426.1,RP11-108M9.6
552,ENSG00000117122.9,MFAP2
553,ENSG00000226526.1,RP1-37C10.3
554,ENSG00000159363.13,ATP13A2
555,ENSG00000117118.5,SDHB
556,ENSG00000117115.8,PADI2
557,ENSG00000252180.1,Y_RNA
558,ENSG00000204362.5,RP11-380J14.1
559,ENSG00000142623.8,PADI1
560,ENSG00000142619.4,PADI3
561,ENSG00000266634.1,MIR3972
562,ENSG00000159339.9,PADI4
563,ENSG00000269468.1,AC004824.2
564,ENSG00000256049.2,PADI6
565,ENSG00000179051.9,RCC2
566,ENSG00000239020.1,snoU13
567,ENSG00000074964.12,ARHGEF10L
568,ENSG00000236648.1,RP11-473A10.2
569,ENSG00000117148.6,ACTL8
570,ENSG00000261781.1,RP11-174G17.2
571,ENSG00000117154.7,IGSF21
572,ENSG00000230035.2,RP11-174G17
573,ENSG00000225387.1,RP11-422P22.1
574,ENSG00000179023.7,KLHDC7A
575,ENSG00000235282.2,RP1-8B22.1
576,ENSG00000225478.2,RP1-8B22.2
577,ENSG00000009709.7,PAX7
578,ENSG00000179002.5,TAS1R2
579,ENSG00000159423.12,ALDH4A1
580,ENSG00000265606.1,MIR4695
581,ENSG00000221662.1,MIR1290
582,ENSG00000169991.6,IFFO2
583,ENSG00000272084.1,RP5-1126H10.2
584,ENSG00000127481.10,UBR4
585,ENSG00000266098.1,AL137127.1
586,ENSG00000230424.1,RP1-43E13.2
587,ENSG00000127463.9,EMC1
588,ENSG00000053372.4,MRTO4
589,ENSG00000211454.9,AKR7L
590,ENSG00000162482.4,AKR7A3
591,ENSG00000270728.1,RP4-657E11.10
592,ENSG00000053371.8,AKR7A2
593,ENSG00000200403.1,RNU6-1099P
594,ENSG00000040487.8,PQLC2
595,ENSG00000265192.1,RN7SL85P
596,ENSG00000077549.13,CAPZB
597,ENSG00000240490.2,RN7SL277P
598,ENSG00000201609.1,RNU4-28P
599,ENSG00000239027.1,snoU13
600,ENSG00000235185.1,RP5-1056L3.1
601,ENSG00000173436.9,MINOS1
602,ENSG00000226396.1,RPS14P3
603,ENSG00000158747.9,NBL1
604,ENSG00000158748.3,HTR6
605,ENSG00000162542.9,TMCO4
606,ENSG00000178828.5,RNF186
607,ENSG00000235434.1,RP11-91K11.2
608,ENSG00000169914.5,OTUD3
609,ENSG00000188784.4,PLA2G2E
610,ENSG00000242688.2,RN7SL304P
611,ENSG00000188257.6,PLA2G2A
612,ENSG00000127472.6,PLA2G5
613,ENSG00000117215.10,PLA2G2D
614,ENSG00000158786.4,PLA2G2F
615,ENSG00000227066.1,RP3-340N1.2
616,ENSG00000187980.6,PLA2G2C
617,ENSG00000225986.1,RP3-340N1.5
618,ENSG00000162543.5,UBXN10
619,ENSG00000228105.1,RP3-340N1.6
620,ENSG00000158816.11,VWA5B1
